,path,product,time_period,weight,scenario
0,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Fish,2020,0.22444915842704655,AVG2
1,"[('Kristiansand', 'Stavanger', 'Road', 1)]",General cargo,2020,29.047882833062665,AVG2
2,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Industrial goods,2020,12.120066961301847,AVG2
3,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Other thermo,2020,0.5952036704711446,AVG2
4,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Wet bulk,2020,1.3902193349731944,AVG2
5,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Dry bulk,2025,0.855192898621425,AVG2
6,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Fish,2025,0.2595976417807651,AVG2
7,"[('Kristiansand', 'Stavanger', 'Road', 1)]",General cargo,2025,33.54333719591276,AVG2
8,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Industrial goods,2025,13.888173030135706,AVG2
9,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Other thermo,2025,0.6262127576477767,AVG2
10,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Wet bulk,2025,1.4076802152258143,AVG2
11,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Fish,2030,0.3003712186191371,AVG2
12,"[('Kristiansand', 'Stavanger', 'Road', 1)]",General cargo,2030,30.83750179587862,AVG2
13,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Industrial goods,2030,15.946543953739951,AVG2
14,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Other thermo,2030,0.6613835517213611,AVG2
15,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Wet bulk,2030,1.445670068814493,AVG2
16,"[('Kristiansand', 'Stavanger', 'Road', 1)]",General cargo,2040,40.399895652004375,AVG2
17,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Industrial goods,2040,13.988533646411536,AVG2
18,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Wet bulk,2040,1.283335330555444,AVG2
19,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Fish,2050,0.42421510833471265,AVG2
20,"[('Kristiansand', 'Stavanger', 'Road', 1)]",General cargo,2050,45.85229784823155,AVG2
21,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Industrial goods,2050,19.51150969154375,AVG2
22,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Other thermo,2050,0.7215202766875749,AVG2
23,"[('Kristiansand', 'Stavanger', 'Road', 1)]",Wet bulk,2050,0.2646773854554578,AVG2
24,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Dry bulk,2020,22.53748209924778,AVG2
25,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Fish,2020,1.0345591745841032,AVG2
26,"[('Stavanger', 'Kristiansand', 'Road', 1)]",General cargo,2020,26.376552937864005,AVG2
27,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Industrial goods,2020,8.631724102794113,AVG2
28,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Other thermo,2020,2.67608776753817,AVG2
29,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Timber,2020,0.9656864059225363,AVG2
30,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Wet bulk,2020,3.234023903275036,AVG2
31,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Dry bulk,2025,27.623536894826195,AVG2
32,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Fish,2025,1.1559139481838994,AVG2
33,"[('Stavanger', 'Kristiansand', 'Road', 1)]",General cargo,2025,30.739135920678493,AVG2
34,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Industrial goods,2025,10.189255146050188,AVG2
35,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Other thermo,2025,3.0079258539733544,AVG2
36,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Timber,2025,0.9042785796811259,AVG2
37,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Wet bulk,2025,3.600035771334062,AVG2
38,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Fish,2030,1.2927336792904232,AVG2
39,"[('Stavanger', 'Kristiansand', 'Road', 1)]",General cargo,2030,35.896174431157,AVG2
40,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Industrial goods,2030,12.04301161071604,AVG2
41,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Timber,2030,0.8467756661531699,AVG2
42,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Wet bulk,2030,4.053808687163205,AVG2
43,"[('Stavanger', 'Kristiansand', 'Road', 1)]",General cargo,2040,39.245209625055615,AVG2
44,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Timber,2040,0.643844631519471,AVG2
45,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Wet bulk,2040,4.271550589442059,AVG2
46,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Dry bulk,2050,14.533669166383856,AVG2
47,"[('Stavanger', 'Kristiansand', 'Road', 1)]",General cargo,2050,45.867374364170104,AVG2
48,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Industrial goods,2050,15.092460538763524,AVG2
49,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Other thermo,2050,4.5409114007484135,AVG2
50,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Timber,2050,0.549338769622407,AVG2
51,"[('Stavanger', 'Kristiansand', 'Road', 1)]",Wet bulk,2050,4.910872520237766,AVG2
52,"[('Skien', 'Verden', 'Sea', 1)]",Dry bulk,2020,234.96119346120776,AVG2
53,"[('Skien', 'Verden', 'Sea', 1)]",Fish,2020,0.022697545818517902,AVG2
54,"[('Skien', 'Verden', 'Sea', 1)]",General cargo,2020,0.1589703981980177,AVG2
55,"[('Skien', 'Verden', 'Sea', 1)]",Industrial goods,2020,7.084803657828817,AVG2
56,"[('Skien', 'Verden', 'Sea', 1)]",Other thermo,2020,0.0003541520395898827,AVG2
57,"[('Skien', 'Verden', 'Sea', 1)]",Wet bulk,2020,91.81357768283694,AVG2
58,"[('Skien', 'Verden', 'Sea', 1)]",Dry bulk,2025,273.3269078833387,AVG2
59,"[('Skien', 'Verden', 'Sea', 1)]",Fish,2025,0.0268771121119782,AVG2
60,"[('Skien', 'Verden', 'Sea', 1)]",General cargo,2025,0.1820477049443439,AVG2
61,"[('Skien', 'Verden', 'Sea', 1)]",Industrial goods,2025,8.314778424196392,AVG2
62,"[('Skien', 'Verden', 'Sea', 1)]",Other thermo,2025,0.0004181619391899254,AVG2
63,"[('Skien', 'Verden', 'Sea', 1)]",Wet bulk,2025,90.79863359908632,AVG2
64,"[('Skien', 'Verden', 'Sea', 1)]",Dry bulk,2030,318.0919194247877,AVG2
65,"[('Skien', 'Verden', 'Sea', 1)]",Fish,2030,0.031826311146401005,AVG2
66,"[('Skien', 'Verden', 'Sea', 1)]",General cargo,2030,0.20917582408081598,AVG2
67,"[('Skien', 'Verden', 'Sea', 1)]",Industrial goods,2030,9.761183214313341,AVG2
68,"[('Skien', 'Verden', 'Sea', 1)]",Other thermo,2030,0.0004937460126479581,AVG2
69,"[('Skien', 'Verden', 'Sea', 1)]",Wet bulk,2030,90.3086074433854,AVG2
70,"[('Skien', 'Verden', 'Sea', 1)]",Dry bulk,2040,376.6663325674145,AVG2
71,"[('Skien', 'Verden', 'Sea', 1)]",Fish,2040,0.038693542823467195,AVG2
72,"[('Skien', 'Verden', 'Sea', 1)]",General cargo,2040,0.24566529264914339,AVG2
