,from,to,Mode,fuel,route,product,weight,time_period,scenario
0,Stavanger,Nord-Sverige,Sea,LNG,1,Dry bulk,1563.3741008960526,2020,AVG2
1,Stavanger,Nord-Sverige,Sea,LNG,1,General cargo,1.7396126966299414,2020,AVG2
2,Stavanger,Nord-Sverige,Sea,LNG,1,Industrial goods,2308.988007499665,2020,AVG2
3,Stavanger,Nord-Sverige,Sea,LNG,1,Dry bulk,1908.5949793233556,2025,AVG2
4,Stavanger,Nord-Sverige,Sea,LNG,1,General cargo,2.0767207100521485,2025,AVG2
5,Stavanger,Nord-Sverige,Sea,LNG,1,Industrial goods,2740.72711003483,2025,AVG2
6,Stavanger,Nord-Sverige,Sea,LNG,1,Dry bulk,2331.1763263947073,2030,AVG2
7,Stavanger,Nord-Sverige,Sea,LNG,1,General cargo,2.479598614106601,2030,AVG2
8,Stavanger,Nord-Sverige,Sea,LNG,1,Industrial goods,3253.1941458109713,2030,AVG2
9,Stavanger,Nord-Sverige,Sea,LNG,1,Dry bulk,2754.0115426108587,2040,AVG2
10,Nord-Sverige,Stavanger,Sea,LNG,1,General cargo,124.76504988308368,2020,AVG2
11,Nord-Sverige,Stavanger,Sea,LNG,1,Industrial goods,11.732262945776355,2020,AVG2
12,Nord-Sverige,Stavanger,Sea,LNG,1,Wet bulk,0.8355602527426468,2020,AVG2
13,Nord-Sverige,Stavanger,Sea,LNG,1,General cargo,147.606312644474,2025,AVG2
14,Nord-Sverige,Stavanger,Sea,LNG,1,Industrial goods,13.374651929507438,2025,AVG2
15,Nord-Sverige,Stavanger,Sea,LNG,1,Wet bulk,0.9325294009855394,2025,AVG2
16,Nord-Sverige,Stavanger,Sea,LNG,1,General cargo,174.63525287182816,2030,AVG2
17,Nord-Sverige,Stavanger,Sea,LNG,1,Industrial goods,15.256676533597659,2030,AVG2
18,Nord-Sverige,Stavanger,Sea,LNG,1,Wet bulk,1.0407916544298674,2030,AVG2
19,Nord-Sverige,Stavanger,Sea,LNG,1,Wet bulk,1.1031073904275142,2040,AVG2
20,Stavanger,Nord-Sverige,Sea,Ammonia,1,General cargo,3.053780303034103,2040,AVG2
21,Stavanger,Nord-Sverige,Sea,Ammonia,1,Dry bulk,3479.979143556839,2050,AVG2
22,Stavanger,Nord-Sverige,Sea,Ammonia,1,General cargo,3.8587643945659234,2050,AVG2
23,Stavanger,Nord-Sverige,Sea,Ammonia,1,Industrial goods,4983.483441217702,2050,AVG2
24,Nord-Sverige,Stavanger,Sea,Ammonia,1,General cargo,209.96305691313785,2040,AVG2
25,Nord-Sverige,Stavanger,Sea,Ammonia,1,General cargo,237.36303098370666,2050,AVG2
26,Nord-Sverige,Stavanger,Sea,Ammonia,1,Industrial goods,18.918275078015704,2050,AVG2
27,Nord-Sverige,Stavanger,Sea,Ammonia,1,Wet bulk,1.1738114331086422,2050,AVG2
28,Stavanger,Nord-Sverige,Sea,Biogas,1,Industrial goods,3970.0053385066767,2040,AVG2
29,Nord-Sverige,Stavanger,Sea,Biogas,1,Industrial goods,15.89538685541142,2040,AVG2
30,Trondheim,Europa,Sea,LNG,1,Dry bulk,16917.121318781035,2020,AVG2
31,Trondheim,Europa,Sea,LNG,1,Fish,3294.4605517155965,2020,AVG2
32,Trondheim,Europa,Sea,LNG,1,General cargo,1863.718173930066,2020,AVG2
33,Trondheim,Europa,Sea,LNG,1,Industrial goods,36058.79114327923,2020,AVG2
34,Trondheim,Europa,Sea,LNG,1,Other thermo,94.41386251098812,2020,AVG2
35,Trondheim,Europa,Sea,LNG,1,Timber,209.30953061459766,2020,AVG2
36,Trondheim,Europa,Sea,LNG,1,Wet bulk,4739.609298291225,2020,AVG2
37,Trondheim,Europa,Sea,LNG,1,Dry bulk,19242.731929114572,2025,AVG2
38,Trondheim,Europa,Sea,LNG,1,Fish,3845.6762892830516,2025,AVG2
39,Trondheim,Europa,Sea,LNG,1,General cargo,2164.721981739698,2025,AVG2
40,Trondheim,Europa,Sea,LNG,1,Industrial goods,42164.03354448873,2025,AVG2
41,Trondheim,Europa,Sea,LNG,1,Other thermo,110.9814400926305,2025,AVG2
42,Trondheim,Europa,Sea,LNG,1,Timber,244.29826087277567,2025,AVG2
43,Trondheim,Europa,Sea,LNG,1,Wet bulk,5555.047984804344,2025,AVG2
44,Trondheim,Europa,Sea,LNG,1,Dry bulk,21918.568490643174,2030,AVG2
45,Trondheim,Europa,Sea,LNG,1,Fish,4492.228773497536,2030,AVG2
46,Trondheim,Europa,Sea,LNG,1,General cargo,2521.491898915944,2030,AVG2
47,Trondheim,Europa,Sea,LNG,1,Industrial goods,49306.27005299645,2030,AVG2
48,Trondheim,Europa,Sea,LNG,1,Other thermo,130.45666342286668,2030,AVG2
49,Trondheim,Europa,Sea,LNG,1,Timber,285.136171778947,2030,AVG2
50,Trondheim,Europa,Sea,LNG,1,Wet bulk,6512.160502441413,2030,AVG2
51,Trondheim,Europa,Sea,LNG,1,Dry bulk,24522.22280202144,2040,AVG2
52,Trondheim,Europa,Sea,LNG,1,Industrial goods,59061.36531391785,2040,AVG2
53,Trondheim,Europa,Sea,LNG,1,Timber,340.21839833618856,2040,AVG2
54,Trondheim,Europa,Sea,LNG,1,Wet bulk,7835.093408762794,2040,AVG2
55,Europa,Trondheim,Sea,LNG,1,Dry bulk,9727.801173068052,2020,AVG2
56,Europa,Trondheim,Sea,LNG,1,Fish,122.01290518341973,2020,AVG2
57,Europa,Trondheim,Sea,LNG,1,General cargo,5540.397311276669,2020,AVG2
58,Europa,Trondheim,Sea,LNG,1,Industrial goods,19810.141949492314,2020,AVG2
59,Europa,Trondheim,Sea,LNG,1,Other thermo,706.294840988271,2020,AVG2
60,Europa,Trondheim,Sea,LNG,1,Timber,11119.981809672232,2020,AVG2
61,Europa,Trondheim,Sea,LNG,1,Wet bulk,1774.5887677990486,2020,AVG2
62,Europa,Trondheim,Sea,LNG,1,Dry bulk,9633.917860069147,2025,AVG2
63,Europa,Trondheim,Sea,LNG,1,Fish,126.35262678776876,2025,AVG2
64,Europa,Trondheim,Sea,LNG,1,General cargo,6437.224822888257,2025,AVG2
65,Europa,Trondheim,Sea,LNG,1,Industrial goods,23120.204496179213,2025,AVG2
66,Europa,Trondheim,Sea,LNG,1,Other thermo,809.8319979621804,2025,AVG2
67,Europa,Trondheim,Sea,LNG,1,Timber,12646.592893946323,2025,AVG2
68,Europa,Trondheim,Sea,LNG,1,Wet bulk,1831.3082300164936,2025,AVG2
69,Europa,Trondheim,Sea,LNG,1,Dry bulk,9590.874140041933,2030,AVG2
70,Europa,Trondheim,Sea,LNG,1,Fish,131.38679873731138,2030,AVG2
71,Europa,Trondheim,Sea,LNG,1,General cargo,7492.93276301683,2030,AVG2
72,Europa,Trondheim,Sea,LNG,1,Industrial goods,27008.512156235756,2030,AVG2
73,Europa,Trondheim,Sea,LNG,1,Other thermo,928.8398009017125,2030,AVG2
74,Europa,Trondheim,Sea,LNG,1,Timber,14436.604669010787,2030,AVG2
75,Europa,Trondheim,Sea,LNG,1,Wet bulk,1914.9666695598714,2030,AVG2
76,Europa,Trondheim,Sea,LNG,1,Dry bulk,8544.422281194147,2040,AVG2
77,Europa,Trondheim,Sea,LNG,1,Industrial goods,32056.310955936744,2040,AVG2
78,Europa,Trondheim,Sea,LNG,1,Timber,17171.34247418394,2040,AVG2
79,Europa,Trondheim,Sea,LNG,1,Wet bulk,1906.9271288945029,2040,AVG2
80,Trondheim,Europa,Sea,Hydrogen,1,Fish,6600.58728169506,2050,AVG2
81,Trondheim,Europa,Sea,Hydrogen,1,General cargo,3666.5467395070486,2050,AVG2
82,Trondheim,Europa,Sea,Hydrogen,1,Industrial goods,72960.37033133957,2050,AVG2
83,Europa,Trondheim,Sea,Hydrogen,1,General cargo,5787.829641450932,2040,AVG2
84,Europa,Trondheim,Sea,Hydrogen,1,Other thermo,1117.67372198658,2040,AVG2
85,Europa,Trondheim,Sea,Hydrogen,1,General cargo,9936.648933337518,2050,AVG2
86,Europa,Trondheim,Sea,Hydrogen,1,Industrial goods,36359.69278713196,2050,AVG2
87,Europa,Trondheim,Sea,Hydrogen,1,Other thermo,1211.161854475865,2050,AVG2
88,Europa,Trondheim,Sea,Hydrogen,1,Timber,17646.402970933206,2050,AVG2
89,Trondheim,Europa,Sea,Ammonia,1,Other thermo,194.90158884823796,2050,AVG2
90,Trondheim,Europa,Sea,Ammonia,1,Timber,419.5932681135347,2050,AVG2
91,Europa,Trondheim,Sea,Ammonia,1,Fish,128.41958680920004,2050,AVG2
92,Trondheim,Europa,Sea,Biogas,1,Fish,5372.463416964691,2040,AVG2
93,Trondheim,Europa,Sea,Biogas,1,General cargo,2992.4287624418002,2040,AVG2
94,Trondheim,Europa,Sea,Biogas,1,Other thermo,157.1448564009997,2040,AVG2
95,Trondheim,Europa,Sea,Biogas,1,Dry bulk,28443.546896050113,2050,AVG2
96,Trondheim,Europa,Sea,Biogas,1,Wet bulk,9709.437543616128,2050,AVG2
97,Europa,Trondheim,Sea,Biogas,1,Fish,131.78420461865448,2040,AVG2
98,Europa,Trondheim,Sea,Biogas,1,General cargo,3123.4032031488778,2040,AVG2
99,Europa,Trondheim,Sea,Biogas,1,Dry bulk,8559.748988233043,2050,AVG2
100,Europa,Trondheim,Sea,Biogas,1,Wet bulk,1895.27877672422,2050,AVG2
101,Kontinentalsokkelen,Verden,Sea,LNG,1,Wet bulk,764265.4419000237,2020,AVG2
102,Kontinentalsokkelen,Verden,Sea,LNG,1,Wet bulk,757780.8864916919,2025,AVG2
103,Kontinentalsokkelen,Verden,Sea,Hydrogen,1,Wet bulk,700161.3499696336,2040,AVG2
104,Kontinentalsokkelen,Verden,Sea,Ammonia,1,Wet bulk,788541.2740733989,2050,AVG2
105,Kontinentalsokkelen,Verden,Sea,Biogas,1,Wet bulk,751351.3505262631,2030,AVG2
106,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Dry bulk,14122.811950192596,2020,AVG2
107,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Fish,46.24929796691766,2020,AVG2
108,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Industrial goods,62.64943738203062,2020,AVG2
109,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Other thermo,176.69150706737244,2020,AVG2
110,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Dry bulk,13416.223919100008,2025,AVG2
111,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Dry bulk,14364.667762447561,2030,AVG2
112,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Dry bulk,9516.093925690438,2040,AVG2
113,Oslo,Sør-Sverige,Rail,Electric train (CL),1,Dry bulk,4493.462124569384,2050,AVG2
114,Sør-Sverige,Oslo,Rail,Electric train (CL),1,Dry bulk,24674.484509911206,2020,AVG2
115,Sør-Sverige,Oslo,Rail,Electric train (CL),1,Fish,133.08645130448022,2020,AVG2
116,Sør-Sverige,Oslo,Rail,Electric train (CL),1,Other thermo,1034.0268461753956,2020,AVG2
117,Sør-Sverige,Oslo,Rail,Electric train (CL),1,Dry bulk,26833.776080899992,2025,AVG2
118,Sør-Sverige,Oslo,Rail,Electric train (CL),1,Dry bulk,25885.332237552437,2030,AVG2
119,Sør-Sverige,Oslo,Rail,Electric train (CL),1,Dry bulk,30733.90607430956,2040,AVG2
120,Sør-Sverige,Oslo,Rail,Electric train (CL),1,Dry bulk,35756.537875430615,2050,AVG2
