NGM_zone_nr;NGM_zone_name;NTP_zone_nr;NTP_zone_name
101;Halden;2;Ytre Østfold
104;Moss;2;Ytre Østfold
105;Sarpsborg;2;Ytre Østfold
106;Fredrikstad;2;Ytre Østfold
111;Hvaler;2;Ytre Østfold
118;Aremark;3;Indre Østfold
119;Marker;3;Indre Østfold
121;Rømskog;3;Indre Østfold
122;Trøgstad;3;Indre Østfold
123;Spydeberg;3;Indre Østfold
124;Askim;3;Indre Østfold
125;Eidsberg;3;Indre Østfold
127;Skiptvet;3;Indre Østfold
128;Rakkestad;3;Indre Østfold
135;Råde;2;Ytre Østfold
136;Rygge;2;Ytre Østfold
137;Våler;2;Ytre Østfold
138;Hobøl;3;Indre Østfold
211;Vestby;1;Akershus og Oslo
213;Ski;1;Akershus og Oslo
214;Ås;1;Akershus og Oslo
215;Frogn;1;Akershus og Oslo
216;Nesodden;1;Akershus og Oslo
217;Oppegård;1;Akershus og Oslo
219;Bærum;1;Akershus og Oslo
220;Asker;1;Akershus og Oslo
221;Aurskog-Høland;1;Akershus og Oslo
226;Sørum;1;Akershus og Oslo
227;Fet;1;Akershus og Oslo
228;Rælingen;1;Akershus og Oslo
229;Enebakk;1;Akershus og Oslo
230;Lørenskog;1;Akershus og Oslo
231;Skedsmo;1;Akershus og Oslo
233;Nittedal;1;Akershus og Oslo
234;Gjerdrum;1;Akershus og Oslo
235;Ullensaker;1;Akershus og Oslo
236;Nes;1;Akershus og Oslo
237;Eidsvoll;1;Akershus og Oslo
238;Nannestad;1;Akershus og Oslo
239;Hurdal;1;Akershus og Oslo
301;Oslo1;1;Akershus og Oslo
302;Oslo2;1;Akershus og Oslo
303;Oslo3;1;Akershus og Oslo
304;Oslo4;1;Akershus og Oslo
305;Oslo5;1;Akershus og Oslo
306;Oslo6;1;Akershus og Oslo
307;Oslo7;1;Akershus og Oslo
308;Oslo8;1;Akershus og Oslo
309;Oslo9;1;Akershus og Oslo
310;Oslo10;1;Akershus og Oslo
311;Oslo11;1;Akershus og Oslo
312;Oslo12;1;Akershus og Oslo
402;Kongsvinger;5;Glåmdal
403;Hamar;4;Hedemarken
412;Ringsaker;4;Hedemarken
415;Løten;4;Hedemarken
417;Stange;4;Hedemarken
418;Nord-Odal;5;Glåmdal
419;Sør-Odal;5;Glåmdal
420;Eidskog;5;Glåmdal
423;Grue;5;Glåmdal
425;Åsnes;5;Glåmdal
426;Våler;5;Glåmdal
427;Elverum;4;Hedemarken
428;Trysil;6;Østerdalen
429;Åmot;6;Østerdalen
430;Stor-Elvdal;6;Østerdalen
432;Rendalen;6;Østerdalen
434;Engerdal;6;Østerdalen
436;Tolga;6;Østerdalen
437;Tynset;6;Østerdalen
438;Alvdal;6;Østerdalen
439;Folldal;6;Østerdalen
441;Os;6;Østerdalen
501;Lillehammer;7;Lillehammer/Gjøvik
502;Gjøvik;7;Lillehammer/Gjøvik
511;Dovre;8;Gudbrandsdalen
512;Lesja;8;Gudbrandsdalen
513;Skjåk;8;Gudbrandsdalen
514;Lom;8;Gudbrandsdalen
515;Vågå;8;Gudbrandsdalen
516;Nord-Fron;8;Gudbrandsdalen
517;Sel;8;Gudbrandsdalen
519;Sør-Fron;8;Gudbrandsdalen
520;Ringebu;8;Gudbrandsdalen
521;Øyer;7;Lillehammer/Gjøvik
522;Gausdal;7;Lillehammer/Gjøvik
528;Østre_Toten;7;Lillehammer/Gjøvik
529;Vestre_Toten;7;Lillehammer/Gjøvik
532;Jevnaker;10;Hadeland
533;Lunner;10;Hadeland
534;Gran;10;Hadeland
536;Søndre_Land;7;Lillehammer/Gjøvik
538;Nordre_Land;7;Lillehammer/Gjøvik
540;Sør-Aurdal;9;Valdres
541;Etnedal;9;Valdres
542;Nord-Aurdal;9;Valdres
543;Vestre_Slidre;9;Valdres
544;Austre_Slidre;9;Valdres
545;Vang;9;Valdres
602;Drammen;11;Drammen
604;Kongsberg;11;Drammen
605;Ringerike;12;Ringerike
612;Hole;12;Ringerike
615;Flå;13;Hallingdal
616;Nes;13;Hallingdal
617;Gol;13;Hallingdal
618;Hemsedal;13;Hallingdal
619;Ål;13;Hallingdal
620;Hol;13;Hallingdal
621;Sigdal;12;Ringerike
622;Krødsherad;12;Ringerike
623;Modum;12;Ringerike
624;Øvre_Eiker;11;Drammen
625;Nedre_Eiker;11;Drammen
626;Lier;11;Drammen
627;Røyken;11;Drammen
628;Hurum;11;Drammen
631;Flesberg;11;Drammen
632;Rollag;11;Drammen
633;Nore_og_Uvdal;11;Drammen
701;Horten;14;Vestfold
702;Holmestrand;14;Vestfold
704;Tønsberg;14;Vestfold
2101;Slagentangen;14;Vestfold
706;Sandefjord;14;Vestfold
709;Larvik;14;Vestfold
711;Svelvik;14;Vestfold
713;Sande;14;Vestfold
714;Hof;14;Vestfold
716;Re;14;Vestfold
719;Andebu;14;Vestfold
720;Stokke;14;Vestfold
722;Nøtterøy;14;Vestfold
723;Tjøme;14;Vestfold
728;Lardal;14;Vestfold
805;Porsgrunn;15;Grenland
806;Skien;15;Grenland
807;Notodden;16;Øvre Telemark
811;Siljan;15;Grenland
814;Bamble;15;Grenland
815;Kragerø;15;Grenland
817;Drangedal;15;Grenland
819;Nome;15;Grenland
821;Bø;16;Øvre Telemark
822;Sauherad;16;Øvre Telemark
826;Tinn;16;Øvre Telemark
827;Hjartdal;16;Øvre Telemark
828;Seljord;16;Øvre Telemark
829;Kviteseid;16;Øvre Telemark
830;Nissedal;16;Øvre Telemark
831;Fyresdal;16;Øvre Telemark
833;Tokke;16;Øvre Telemark
834;Vinje;16;Øvre Telemark
840;Brevik;15;Grenland
901;Risør;17;Aust-Agder
904;Grimstad;17;Aust-Agder
906;Arendal;17;Aust-Agder
911;Gjerstad;17;Aust-Agder
912;Vegårshei;17;Aust-Agder
914;Tvedestrand;17;Aust-Agder
919;Froland;17;Aust-Agder
926;Lillesand;17;Aust-Agder
928;Birkenes;17;Aust-Agder
929;Åmli;17;Aust-Agder
935;Iveland;17;Aust-Agder
937;Evje_og_Hornnes;17;Aust-Agder
938;Bygland;17;Aust-Agder
940;Valle;17;Aust-Agder
941;Bykle;17;Aust-Agder
1002;Mandal;18;Vest-Agder
1003;Farsund;18;Vest-Agder
1004;Flekkefjord;18;Vest-Agder
1014;Vennesla;18;Vest-Agder
1017;Songdalen;18;Vest-Agder
1018;Søgne;18;Vest-Agder
1021;Marnardal;18;Vest-Agder
1026;Åseral;18;Vest-Agder
1027;Audnedal;18;Vest-Agder
1029;Lindesnes;18;Vest-Agder
1032;Lyngdal;18;Vest-Agder
1034;Hægebostad;18;Vest-Agder
1037;Kvinesdal;18;Vest-Agder
1046;Sirdal;18;Vest-Agder
1071;Kristiansand1;18;Vest-Agder
1072;Kristiansand2;18;Vest-Agder
1073;Kristiansand3;18;Vest-Agder
1074;Kristiansand4;18;Vest-Agder
1075;Kristiansand5;18;Vest-Agder
1101;Eigersund;19;Jæren
1102;Sandnes;19;Jæren
1106;Haugesund;20;Nord-Rogaland
1111;Sokndal;19;Jæren
1112;Lund;19;Jæren
1114;Bjerkreim;19;Jæren
1119;Hå;19;Jæren
1120;Klepp;19;Jæren
1121;Time;19;Jæren
1122;Gjesdal;19;Jæren
1124;Sola;19;Jæren
1127;Randaberg;19;Jæren
1129;Forsand;19;Jæren
1130;Strand;19;Jæren
1133;Hjelmeland;19;Jæren
1134;Suldal;20;Nord-Rogaland
1135;Sauda;20;Nord-Rogaland
1141;Finnøy;19;Jæren
1142;Rennesøy;19;Jæren
1144;Kvitsøy;19;Jæren
1145;Bokn;20;Nord-Rogaland
1146;Tysvær;20;Nord-Rogaland
1149;Karmøy;20;Nord-Rogaland
1151;Utsira;20;Nord-Rogaland
1154;Vindafjord;20;Nord-Rogaland
1159;Ølen;20;Nord-Rogaland
1171;Stavanger1;19;Jæren
1172;Stavanger2;19;Jæren
1173;Stavanger3;19;Jæren
1174;Stavanger4;19;Jæren
1175;Stavanger5;19;Jæren
1211;Etne;24;Sunnhordaland
1216;Sveio;24;Sunnhordaland
1219;Bømlo;24;Sunnhordaland
1221;Stord;24;Sunnhordaland
1222;Fitjar;24;Sunnhordaland
1223;Tysnes;24;Sunnhordaland
1224;Kvinnherad;23;Hardanger
1227;Jondal;23;Hardanger
1228;Odda;23;Hardanger
1231;Ullensvang;23;Hardanger
1232;Eidfjord;23;Hardanger
1233;Ulvik;22;Voss
1234;Granvin;22;Voss
1235;Voss;22;Voss
1238;Kvam;23;Hardanger
1241;Fusa;21;Bergen
1242;Samnanger;21;Bergen
1243;Os;21;Bergen
1244;Austevoll;21;Bergen
1245;Sund;21;Bergen
1246;Fjell;21;Bergen
1247;Askøy;21;Bergen
1251;Vaksdal;22;Voss
1252;Modalen;22;Voss
1253;Osterøy;21;Bergen
1256;Meland;21;Bergen
1259;Øygarden;21;Bergen
1260;Radøy;21;Bergen
1263;Lindås;21;Bergen
1264;Austrheim;21;Bergen
1265;Fedje;21;Bergen
1266;Masfjorden;21;Bergen
1271;Bergen1;21;Bergen
1272;Bergen2;21;Bergen
1273;Bergen3;21;Bergen
1274;Bergen4;21;Bergen
1275;Bergen5;21;Bergen
1276;Bergen6;21;Bergen
1277;Bergen7;21;Bergen
1401;Flora;26;Ytre Sogn/Fjordane
1411;Gulen;26;Ytre Sogn/Fjordane
1412;Solund;26;Ytre Sogn/Fjordane
1413;Hyllestad;26;Ytre Sogn/Fjordane
1416;Høyanger;26;Ytre Sogn/Fjordane
1417;Vik;25;Indre Sogn
1418;Balestrand;26;Ytre Sogn/Fjordane
1419;Leikanger;25;Indre Sogn
1420;Sogndal;25;Indre Sogn
1421;Aurland;25;Indre Sogn
1422;Lærdal;25;Indre Sogn
1424;Årdal;25;Indre Sogn
1426;Luster;25;Indre Sogn
1428;Askvoll;26;Ytre Sogn/Fjordane
1429;Fjaler;26;Ytre Sogn/Fjordane
1430;Gaular;26;Ytre Sogn/Fjordane
1431;Jølster;26;Ytre Sogn/Fjordane
