Zone in matrix;Zone in model;Connected zone;Dummy;Dummy;Country/county;Type;Name
1;50;50;0;0;SE;Z;Stockholm
2;51;51;0;0;SE;Z;Luleå
3;52;52;0;0;SE;Z;Malmø
4;53;53;0;0;SE;Z;Kiruna
5;54;54;0;0;SE;Z;Linköping
6;55;55;0;0;SE;Z;Falun
7;56;56;0;0;SE;Z;Västerås
8;57;57;0;0;SE;Z;Kalmar
9;58;58;0;0;SE;Z;Gøteborg
10;59;59;0;0;SE;Z;Jönköping
11;60;60;0;0;SE;Z;Karlstad
12;61;61;0;0;SE;Z;Umeå
13;62;62;0;0;SE;Z;Østersund
14;101;101;1;642;1;Z;Halden
15;104;104;1;63;1;Z;Moss
16;105;105;1;406;1;Z;Sarpsborg
17;106;106;1;288;1;Z;Fredrikstad
18;111;111;1;90;1;Z;Hvaler
19;118;118;1;319;1;Z;Aremark
20;119;119;1;413;1;Z;Marker
21;121;121;1;183;1;Z;Rømskog
22;122;122;1;204;1;Z;Trøgstad
23;123;123;1;142;1;Z;Spydeberg
24;124;124;1;69;1;Z;Askim
25;125;125;1;236;1;Z;Eidsberg
26;127;127;1;101;1;Z;Skiptvet
27;128;128;1;435;1;Z;Rakkestad
28;135;135;1;119;1;Z;Råde
29;136;136;1;74;1;Z;Rygge
30;137;137;1;257;1;Z;Våler
31;138;138;1;140;1;Z;Hobøl
32;211;211;1;134;2;Z;Vestby
33;213;213;1;166;2;Z;Ski
34;214;214;1;103;2;Z;Ås
35;215;215;1;86;2;Z;Frogn
36;216;216;1;61;2;Z;Nesodden
37;217;217;1;37;2;Z;Oppegård
38;219;219;1;192;2;Z;Bærum
39;220;220;1;101;2;Z;Asker
40;221;221;1;962;2;Z;Aurskog-Høland
41;226;226;1;207;2;Z;Sørum
42;227;227;1;176;2;Z;Fet
43;228;228;1;72;2;Z;Rælingen
44;229;229;1;233;2;Z;Enebakk
45;230;230;1;71;2;Z;Lørenskog
46;231;231;1;77;2;Z;Skedsmo
47;233;233;1;186;2;Z;Nittedal
48;234;234;1;83;2;Z;Gjerdrum
49;235;235;1;252;2;Z;Ullensaker
50;236;236;1;637;2;Z;Nes
51;237;237;1;457;2;Z;Eidsvoll
52;238;238;1;341;2;Z;Nannestad
53;239;239;1;285;2;Z;Hurdal
54;301;301;1;38;3;Z;Oslo1
55;302;302;1;38;3;Z;Oslo2
56;303;303;1;38;3;Z;Oslo3
57;304;304;1;38;3;Z;Oslo4
58;305;305;1;38;3;Z;Oslo5
59;306;306;1;38;3;Z;Oslo6
60;307;307;1;38;3;Z;Oslo7
61;308;308;1;38;3;Z;Oslo8
62;309;309;1;38;3;Z;Oslo9
63;310;310;1;38;3;Z;Oslo10
64;311;311;1;38;3;Z;Oslo11
65;312;312;1;38;3;Z;Oslo12
66;402;402;2;1036;4;Z;Kongsvinger
67;403;403;2;351;4;Z;Hamar
68;412;412;2;1281;4;Z;Ringsaker
69;415;415;2;369;4;Z;Løten
70;417;417;2;724;4;Z;Stange
71;418;418;2;508;4;Z;Nord-Odal
72;419;419;2;517;4;Z;Sør-Odal
73;420;420;2;641;4;Z;Eidskog
74;423;423;2;837;4;Z;Grue
75;425;425;2;1041;4;Z;Åsnes
76;426;426;2;705;4;Z;Våler
77;427;427;2;1229;4;Z;Elverum
78;428;428;2;3014;4;Z;Trysil
79;429;429;2;1340;4;Z;Åmot
80;430;430;2;2166;4;Z;Stor-Elvdal
81;432;432;2;3180;4;Z;Rendalen
82;434;434;2;2197;4;Z;Engerdal
83;436;436;2;1123;4;Z;Tolga
84;437;437;2;1879;4;Z;Tynset
85;438;438;2;943;4;Z;Alvdal
86;439;439;2;1275;4;Z;Folldal
87;441;441;2;1040;4;Z;Os
88;501;501;2;477;5;Z;Lillehammer
89;502;502;2;672;5;Z;Gjøvik
90;511;511;2;1364;5;Z;Dovre
91;512;512;2;2259;5;Z;Lesja
92;513;513;2;2076;5;Z;Skjåk
93;514;514;2;1969;5;Z;Lom
94;515;515;2;1330;5;Z;Vågå
95;516;516;2;1141;5;Z;Nord-Fron
96;517;517;2;905;5;Z;Sel
97;519;519;2;745;5;Z;Sør-Fron
98;520;520;2;1248;5;Z;Ringebu
99;521;521;2;640;5;Z;Øyer
100;522;522;2;1192;5;Z;Gausdal
101;528;528;2;562;5;Z;Østre_Toten
102;529;529;2;249;5;Z;Vestre_Toten
103;532;532;2;224;5;Z;Jevnaker
104;533;533;2;292;5;Z;Lunner
105;534;534;2;758;5;Z;Gran
106;536;536;2;728;5;Z;Søndre_Land
107;538;538;2;955;5;Z;Nordre_Land
108;540;540;2;1109;5;Z;Sør-Aurdal
109;541;541;2;459;5;Z;Etnedal
110;542;542;2;907;5;Z;Nord-Aurdal
111;543;543;2;463;5;Z;Vestre_Slidre
112;544;544;2;963;5;Z;Austre_Slidre
113;545;545;2;1505;5;Z;Vang
114;602;602;3;137;6;Z;Drammen
115;604;604;3;792;6;Z;Kongsberg
116;605;605;3;1552;6;Z;Ringerike
117;612;612;3;198;6;Z;Hole
118;615;615;3;704;6;Z;Flå
119;616;616;3;810;6;Z;Nes
120;617;617;3;533;6;Z;Gol
121;618;618;3;753;6;Z;Hemsedal
122;619;619;3;1171;6;Z;Ål
123;620;620;3;1858;6;Z;Hol
124;621;621;3;842;6;Z;Sigdal
125;622;622;3;375;6;Z;Krødsherad
126;623;623;3;515;6;Z;Modum
127;624;624;3;457;6;Z;Øvre_Eiker
128;625;625;3;122;6;Z;Nedre_Eiker
129;626;626;3;301;6;Z;Lier
130;627;627;3;113;6;Z;Røyken
131;628;628;3;163;6;Z;Hurum
132;631;631;3;562;6;Z;Flesberg
133;632;632;3;449;6;Z;Rollag
134;633;633;3;2502;6;Z;Nore_og_Uvdal
135;701;701;4;70;7;Z;Horten
136;702;702;4;86;7;Z;Holmestrand
137;704;704;4;107;7;Z;Tønsberg
138;706;706;4;121;7;Z;Sandefjord
139;709;709;4;535;7;Z;Larvik
140;711;711;4;58;7;Z;Svelvik
141;713;713;4;178;7;Z;Sande
142;714;714;4;163;7;Z;Hof
143;716;716;4;225;7;Z;Re
144;719;719;4;186;7;Z;Andebu
145;720;720;4;118;7;Z;Stokke
146;722;722;4;61;7;Z;Nøtterøy
147;723;723;4;39;7;Z;Tjøme
148;728;728;4;278;7;Z;Lardal
149;805;805;4;165;8;Z;Porsgrunn
150;806;806;4;779;8;Z;Skien
151;807;807;4;919;8;Z;Notodden
152;811;811;4;214;8;Z;Siljan
153;814;814;4;304;8;Z;Bamble
154;815;815;4;306;8;Z;Kragerø
155;817;817;4;1063;8;Z;Drangedal
156;819;819;4;430;8;Z;Nome
157;821;821;4;263;8;Z;Bø
158;822;822;4;321;8;Z;Sauherad
159;826;826;4;2045;8;Z;Tinn
160;827;827;4;792;8;Z;Hjartdal
161;828;828;4;715;8;Z;Seljord
162;829;829;4;708;8;Z;Kviteseid
163;830;830;4;905;8;Z;Nissedal
164;831;831;4;1281;8;Z;Fyresdal
165;833;833;4;984;8;Z;Tokke
166;834;834;4;3106;8;Z;Vinje
167;840;840;4;0;8;Z;Brevik
168;901;901;5;193;9;Z;Risør
169;904;904;5;303;9;Z;Grimstad
170;906;906;5;270;9;Z;Arendal
171;911;911;5;322;9;Z;Gjerstad
172;912;912;5;356;9;Z;Vegårshei
173;914;914;5;218;9;Z;Tvedestrand
174;919;919;5;645;9;Z;Froland
175;926;926;5;190;9;Z;Lillesand
176;928;928;5;674;9;Z;Birkenes
177;929;929;5;1131;9;Z;Åmli
178;935;935;5;262;9;Z;Iveland
179;937;937;5;550;9;Z;Evje_og_Hornnes
180;938;938;5;1312;9;Z;Bygland
181;940;940;5;1265;9;Z;Valle
182;941;941;5;1467;9;Z;Bykle
183;1002;1002;5;222;10;Z;Mandal
184;1003;1003;5;262;10;Z;Farsund
185;1004;1004;5;543;10;Z;Flekkefjord
186;1014;1014;5;384;10;Z;Vennesla
187;1017;1017;5;216;10;Z;Songdalen
188;1018;1018;5;151;10;Z;Søgne
189;1021;1021;5;395;10;Z;Marnardal
190;1026;1026;5;888;10;Z;Åseral
191;1027;1027;5;251;10;Z;Audnedal
192;1029;1029;5;317;10;Z;Lindesnes
193;1032;1032;5;391;10;Z;Lyngdal
194;1034;1034;5;462;10;Z;Hægebostad
195;1037;1037;5;963;10;Z;Kvinesdal
196;1046;1046;5;1555;10;Z;Sirdal
197;1071;1071;5;55;10;Z;Kristiansand1
198;1072;1072;5;55;10;Z;Kristiansand2
199;1073;1073;5;55;10;Z;Kristiansand3
200;1074;1074;5;55;10;Z;Kristiansand4
201;1075;1075;5;55;10;Z;Kristiansand5
202;1101;1101;6;432;11;Z;Eigersund
203;1102;1102;6;305;11;Z;Sandnes
204;1106;1106;6;73;11;Z;Haugesund
205;1111;1111;6;295;11;Z;Sokndal
206;1112;1112;6;409;11;Z;Lund
207;1114;1114;6;650;11;Z;Bjerkreim
208;1119;1119;6;259;11;Z;Hå
209;1120;1120;6;114;11;Z;Klepp
210;1121;1121;6;183;11;Z;Time
211;1122;1122;6;618;11;Z;Gjesdal
212;1124;1124;6;70;11;Z;Sola
213;1127;1127;6;25;11;Z;Randaberg
