,from_aggr_zone,to_aggr_zone,product_group,year,amount_tons
42,(L)Ofoten og Vesterålen,Agder,Break bulk (fast),2018,19.948994356094484
43,(L)Ofoten og Vesterålen,Agder,Break bulk (fast),2020,18.81905694911136
44,(L)Ofoten og Vesterålen,Agder,Break bulk (fast),2025,21.531370452707183
45,(L)Ofoten og Vesterålen,Agder,Break bulk (fast),2030,24.64898289643533
46,(L)Ofoten og Vesterålen,Agder,Break bulk (fast),2040,28.813663182875402
47,(L)Ofoten og Vesterålen,Agder,Break bulk (fast),2050,33.94052953858065
48,(L)Ofoten og Vesterålen,Agder,Break bulk (slow),2018,0.638147408073689
49,(L)Ofoten og Vesterålen,Agder,Break bulk (slow),2020,0.608174793506409
50,(L)Ofoten og Vesterålen,Agder,Break bulk (slow),2025,0.717426691654531
51,(L)Ofoten og Vesterålen,Agder,Break bulk (slow),2030,0.846304489094123
52,(L)Ofoten og Vesterålen,Agder,Break bulk (slow),2040,0.775465891939244
53,(L)Ofoten og Vesterålen,Agder,Break bulk (slow),2050,0.847460585275107
54,(L)Ofoten og Vesterålen,Agder,Container (fast),2018,44.92451208209966
55,(L)Ofoten og Vesterålen,Agder,Container (fast),2020,41.61209502359178
56,(L)Ofoten og Vesterålen,Agder,Container (fast),2025,45.764349990702094
57,(L)Ofoten og Vesterålen,Agder,Container (fast),2030,50.41252648123165
58,(L)Ofoten og Vesterålen,Agder,Container (fast),2040,56.74630593086599
59,(L)Ofoten og Vesterålen,Agder,Container (fast),2050,65.06928241260688
60,(L)Ofoten og Vesterålen,Agder,Container (slow),2018,332.80616551279473
61,(L)Ofoten og Vesterålen,Agder,Container (slow),2020,307.64064156471875
62,(L)Ofoten og Vesterålen,Agder,Container (slow),2025,336.68513926630067
63,(L)Ofoten og Vesterålen,Agder,Container (slow),2030,368.8948228423252
64,(L)Ofoten og Vesterålen,Agder,Container (slow),2040,408.1778993093028
65,(L)Ofoten og Vesterålen,Agder,Container (slow),2050,466.64435568452114
66,(L)Ofoten og Vesterålen,Agder,Dry bulk,2018,5.26333266030898
