,commodity,amount_tons
0,1,30534486.64685084
1,2,18321770.140802808
2,3,2019282.2838962632
3,4,9518729.021710435
4,5,48423044.76180133
5,6,16302270.418120038
6,7,22627134.139549468
7,8,87566318.44335735
8,9,15647263.437861016
9,10,47358934.79123072
10,11,14702176.149272371
11,12,3520306.4949144693
12,13,25593246.160159893
13,14,54313925.40729618
14,15,25828680.715503123
15,16,130539419.20473656
16,17,23004350.625454277
17,18,84038065.53592052
18,19,37944600.49997121
19,20,12122462.583149595
20,21,18080269.588445038
21,22,7148576.454824776
22,23,219017411.8263314
23,24,946929883.4695797
24,25,63698743.92702098
25,26,54625967.0424355
26,27,21488686.747543
27,28,142483445.91606748
28,29,51125738.352816835
29,30,78838365.0896313
30,31,11480057.584110562
31,32,17057784.894487213
32,33,400631781.5008118
33,34,62858518.70637993
34,35,142876128.57938686
35,36,8619209.579227524
36,37,142163643.7599147
37,38,7362730.714586381
38,39,38044414.62975622
