Category;Name;Number;Zone
jernbane-terminaler;Oslo - Alnabru ;7001;306
jernbane-terminaler;Drammen ;7002;602
jernbane-terminaler;Kristiansand ;7003;1075
jernbane-terminaler;Bergen ;7004;1271
jernbane-terminaler;Rauma ;7005;1539
jernbane-terminaler;Trondheim ;7006;1671
jernbane-terminaler;Berg, Halden ;7007;101
jernbane-terminaler;Bodø ;7008;1804
jernbane-terminaler;Fauske ;7009;1841
jernbane-terminaler;Narvik ;7010;1805
jernbane-terminaler;Rana ;7011;1833
jernbane-terminaler;Vefsn ;7012;1824
jernbane-terminaler;Ganddal,Sandnes ;7013;1102
jernbane-terminaler;Borgestad ;7014;806
jernbane-terminaler;Rolvsøy ;7015;106
jernbane-terminaler;Sjursøya ;7016;301
jernbane-terminaler;Gardermoen ;7017;235
jernbane-terminaler;Auma ;7018;437
jernbane-terminaler;Braskeriedfoss ;7019;426
jernbane-terminaler;Formofoss ;7020;1742
jernbane-terminaler;Hove, Lilleham. ;7021;501
jernbane-terminaler;Hønefoss ;7022;605
jernbane-terminaler;Koppang ;7023;430
jernbane-terminaler;Lierstranda ;7024;626
jernbane-terminaler;Lunde ;7025;819
jernbane-terminaler;Bø ;7026;821
jernbane-terminaler;Levanger ;7027;1719
jernbane-terminaler;Nesbyen ;7028;616
jernbane-terminaler;Norsenga,Kongsv. ;7029;402
jernbane-terminaler;Notodden ;7030;807
jernbane-terminaler;Nelaug ;7031;929
jernbane-terminaler;Støren ;7032;1648
jernbane-terminaler;Sørli ;7033;403
jernbane-terminaler;Vestmo, Elverum ;7034;427
jernbane-terminaler;Grue ;7035;423
jernbane-terminaler;Våler ;7036;426
jernbane-terminaler;Midtre Gauldal ;7037;1648
jernbane-terminaler;Moss ;7038;104
jernbane-terminaler;Sarpsborg ;7039;105
jernbane-terminaler;Skogn ;7040;1719
jernbane-terminaler;Otta ;7041;517
jernbane-terminaler;Porsgrunn ;7042;805
jernbane-terminaler;Brevik ;7043;840
jernbane-terminaler;Ørtfjell ;7044;1880
jernbane-terminaler;Verdal ;7060;1721
jernbane-terminaler;Stockholm ;7101;50
jernbane-terminaler;Luleå ;7102;51
jernbane-terminaler;Malmø ;7103;52
jernbane-terminaler;Kiruna ;7104;53
jernbane-terminaler;Uppsala ;7105;56
jernbane-terminaler;Falun ;7106;55
jernbane-terminaler;Østersund ;7107;62
jernbane-terminaler;Kalmar ;7108;57
jernbane-terminaler;Gøteborg ;7109;58
jernbane-terminaler;Helsinki ;7110;3001
jernbane-terminaler;Kemi ;7111;3002
jernbane-terminaler;København ;7112;4001
jernbane-terminaler;Viborg ;7113;4005
jernbane-terminaler;Hamburg ;7114;5101
jernbane-terminaler;Bremerhaven ;7115;5102
jernbane-terminaler;Berlin ;7116;5104
jernbane-terminaler;Paris ;7117;5201
jernbane-terminaler;Marseilles ;7118;5203
jernbane-terminaler;Dublin ;7119;5302
jernbane-terminaler;Amsterdam ;7120;5403
jernbane-terminaler;Rotterdam ;7121;5404
jernbane-terminaler;Brüssel ;7122;5501
jernbane-terminaler;London ;7123;5605
jernbane-terminaler;Madrid ;7124;5700
jernbane-terminaler;Lisboa ;7125;5710
jernbane-terminaler;Moskva ;7126;5831
jernbane-terminaler;St. Petersb ;7127;5835
jernbane-terminaler;Hellas ;7128;5720
jernbane-terminaler;Bulgaria ;7129;5730
jernbane-terminaler;Ungarn ;7130;5740
jernbane-terminaler;Romania ;7131;5750
jernbane-terminaler;Tsjekkia ;7132;5760
jernbane-terminaler;Tidl. Jugoslavia ;7133;5770
jernbane-terminaler;Tyrkia ;7134;5790
jernbane-terminaler;Litauen ;7135;5800
jernbane-terminaler;Latvia ;7136;5810
jernbane-terminaler;Tallin ;7137;5820
jernbane-terminaler;Polen ;7138;5840
jernbane-terminaler;Sveits ;7139;5860
jernbane-terminaler;Østerrike ;7140;5870
jernbane-terminaler;Roma ;7141;5880
jernbane-terminaler;Hviterussland ;7142;5900
jernbane-terminaler;Slovakia ;7143;5910
jernbane-terminaler;Ukraina ;7144;5920
jernbane-terminaler;Karlstad ;7145;60
flyplaser;Gardermoen ;7301;235
flyplaser;Flesland ;7302;1274
flyplaser;Sola ;7303;1124
flyplaser;Værnes ;7304;1714
flyplaser;Evenes ;7305;1853
flyplaser;Arlanda ;7306;50
flyplaser;Kastrup ;7307;4001
flyplaser;Frankfurt ;7308;5105
flyplaser;Amsterdam ;7309;5403
flyplaser;London ;7310;5605
flyplaser;Zurich ;7311;5860
havner;Tysvær (Kårstø) ;7536;1146
havner;Karmøy ;7537;1149
havner;Ølen ;7538;1159
havner;Stavanger ;7539;1172
havner;Stord ;7540;1221
havner;Kvinnherad ;7541;1224
havner;Odda ;7542;1228
havner;Kvam ;7543;1238
havner;Fusa ;7544;1241
havner;Austevoll ;7545;1244
havner;Fjell ;7546;1246
havner;Askøy ;7547;1247
havner;Halden ;7501;101
havner;Moss ;7502;104
havner;Sarpsborg ;7503;105
havner;Fredrikstad ;7504;106
havner;Oslo ;7505;301
havner;Drammen ;7506;602
havner;Røyken ;7507;627
havner;Hurum ;7508;628
havner;Horten ;7509;701
havner;Holmestrand ;7510;702
havner;Tønsberg ;7511;704
havner;Sandefjord ;7512;706
havner;Larvik ;7513;709
havner;Porsgrunn ;7514;805
havner;Skien ;7515;806
havner;Bamble ;7516;814
havner;Kragerø ;7517;815
havner;Grimstad ;7518;904
havner;Arendal ;7519;906
havner;Lillesand ;7520;926
havner;Mandal ;7521;1002
havner;Farsund ;7522;1003
havner;Flekkefjord ;7523;1004
havner;Lyngdal ;7524;1032
havner;Kvinesdal ;7525;1037
havner;Kristiansand ;7526;1071
havner;Eigersund ;7527;1101
havner;Sandnes ;7528;1102
havner;Haugesund ;7529;1106
havner;Sokndal ;7530;1111
havner;Gjesdal ;7531;1122
havner;Sola ;7532;1124
havner;Strand ;7533;1130
havner;Suldal ;7534;1134
havner;Sauda ;7535;1135
havner;Modalen ;7548;1252
havner;Vaksdal ;7549;1251
havner;Øygarden ;7550;1259
havner;Mongstad ;7551;1263
havner;Fedje ;7552;1265
havner;Bergen ;7553;1271
havner;Flora ;7554;1401
havner;Gulen ;7555;1411
havner;Høyanger ;7556;1416
havner;Aurland ;7557;1421
havner;Årdal ;7558;1424
havner;Luster ;7559;1426
havner;Askvoll ;7560;1428
havner;Bremanger ;7561;1438
havner;Vågsøy ;7562;1439
havner;Molde ;7563;1502
havner;Kristiansund ;7564;1503
havner;Ålesund ;7565;1504
havner;Vanylven ;7566;1511
havner;Hareid ;7567;1517
havner;Ørsta ;7568;1520
havner;Sula ;7569;1531
havner;Vestnes ;7570;1535
havner;Fræna ;7571;1548
havner;Sunndal ;7572;1563
havner;Aure ;7573;1569
havner;Hemne ;7574;1612
havner;Orkdal ;7575;1638
havner;Malvik ;7576;1663
havner;Trondheim ;7577;1671
havner;Steinkjer ;7578;1702
havner;Namsos ;7579;1703
havner;Levanger ;7580;1719
havner;Verdal ;7581;1721
havner;Vikna ;7582;1750
havner;Bodø ;7583;1804
havner;Narvik ;7584;1805
havner;Brønnøy ;7585;1813
havner;Alstahaug ;7586;1820
havner;Vefsn ;7587;1824
havner;Rana ;7588;1833
havner;Meløy ;7589;1837
havner;Sørfold ;7590;1845
havner;Tysfjord ;7591;1850
havner;Lødingen ;7592;1851
havner;Vestvågøy ;7593;1860
havner;Vågan ;7594;1865
havner;Hadsel ;7595;1866
havner;Øksnes ;7596;1868
havner;Sortland ;7597;1870
havner;Andøy ;7598;1871
havner;Harstad ;7599;1901
havner;Lenvik ;7600;1931
havner;Skjervøy ;7601;1941
havner;Tromsø ;7602;1971
havner;Vardø ;7603;2002
havner;Vadsø ;7604;2003
havner;Hammerfest ;7605;2004
havner;Alta ;7606;2012
havner;Loppa ;7607;2014
havner;Måsøy ;7608;2018
havner;Nordkapp ;7609;2019
havner;Porsanger ;7610;2020
havner;Lebesby ;7611;2022
havner;Gamvik ;7612;2023
havner;Berlevåg ;7613;2024
havner;Tana ;7614;2025
havner;Båtsfjord ;7615;2028
havner;Sør-Varanger ;7616;2030
havner;Stjørdal ;7617;1714
havner;Aukra ;7618;1547
havner;Slagentangen ;7619;2101
havner;Brevik ;7620;805
havner;Hitra ;7621;1617
havner_utenlandsk;Stockholm ;7801;50
havner_utenlandsk;Luleå ;7802;51
havner_utenlandsk;Malmø ;7803;52
