NGM_zone_nr;NGM_zone_name;NTP_zone_nr;NTP_zone_name;Old_County_zone_name;County_zone_name;STRAM_zone_name;STRAM_zone_nr
211;Vestby;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
213;Ski;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
214;Ås;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
215;Frogn;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
216;Nesodden;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
217;Oppegård;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
219;Bærum;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
220;Asker;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
221;Aurskog-Høland;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
226;Sørum;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
227;Fet;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
228;Rælingen;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
229;Enebakk;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
230;Lørenskog;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
231;Skedsmo;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
233;Nittedal;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
234;Gjerdrum;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
235;Ullensaker;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
236;Nes;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
237;Eidsvoll;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
238;Nannestad;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
239;Hurdal;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
301;Oslo1;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
302;Oslo2;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
303;Oslo3;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
304;Oslo4;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
305;Oslo5;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
306;Oslo6;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
307;Oslo7;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
308;Oslo8;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
309;Oslo9;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
310;Oslo10;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
311;Oslo11;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
312;Oslo12;1;Akershus og Oslo;Akershus og Oslo;Viken;Viken;1
602;Drammen;11;Drammen;Buskerud;Viken;Viken;1
604;Kongsberg;11;Drammen;Buskerud;Viken;Viken;1
624;Øvre_Eiker;11;Drammen;Buskerud;Viken;Viken;1
625;Nedre_Eiker;11;Drammen;Buskerud;Viken;Viken;1
626;Lier;11;Drammen;Buskerud;Viken;Viken;1
627;Røyken;11;Drammen;Buskerud;Viken;Viken;1
628;Hurum;11;Drammen;Buskerud;Viken;Viken;1
631;Flesberg;11;Drammen;Buskerud;Viken;Viken;1
632;Rollag;11;Drammen;Buskerud;Viken;Viken;1
633;Nore_og_Uvdal;11;Drammen;Buskerud;Viken;Viken;1
532;Jevnaker;10;Hadeland;Akershus og Oslo;Viken;Viken;1
533;Lunner;10;Hadeland;Akershus og Oslo;Viken;Viken;1
615;Flå;13;Hallingdal;Buskerud;Viken;Viken;1
616;Nes;13;Hallingdal;Buskerud;Viken;Viken;1
617;Gol;13;Hallingdal;Buskerud;Viken;Viken;1
618;Hemsedal;13;Hallingdal;Buskerud;Viken;Viken;1
619;Ål;13;Hallingdal;Buskerud;Viken;Viken;1
620;Hol;13;Hallingdal;Buskerud;Viken;Viken;1
118;Aremark;3;Indre Østfold;Østfold;Viken;Viken;1
119;Marker;3;Indre Østfold;Østfold;Viken;Viken;1
121;Rømskog;3;Indre Østfold;Østfold;Viken;Viken;1
122;Trøgstad;3;Indre Østfold;Østfold;Viken;Viken;1
123;Spydeberg;3;Indre Østfold;Østfold;Viken;Viken;1
124;Askim;3;Indre Østfold;Østfold;Viken;Viken;1
125;Eidsberg;3;Indre Østfold;Østfold;Viken;Viken;1
127;Skiptvet;3;Indre Østfold;Østfold;Viken;Viken;1
128;Rakkestad;3;Indre Østfold;Østfold;Viken;Viken;1
138;Hobøl;3;Indre Østfold;Østfold;Viken;Viken;1
605;Ringerike;12;Ringerike;Buskerud;Viken;Viken;1
612;Hole;12;Ringerike;Buskerud;Viken;Viken;1
621;Sigdal;12;Ringerike;Buskerud;Viken;Viken;1
622;Krødsherad;12;Ringerike;Buskerud;Viken;Viken;1
623;Modum;12;Ringerike;Buskerud;Viken;Viken;1
101;Halden;2;Ytre Østfold;Østfold;Viken;Viken;1
104;Moss;2;Ytre Østfold;Østfold;Viken;Viken;1
105;Sarpsborg;2;Ytre Østfold;Østfold;Viken;Viken;1
106;Fredrikstad;2;Ytre Østfold;Østfold;Viken;Viken;1
111;Hvaler;2;Ytre Østfold;Østfold;Viken;Viken;1
135;Råde;2;Ytre Østfold;Østfold;Viken;Viken;1
136;Rygge;2;Ytre Østfold;Østfold;Viken;Viken;1
137;Våler;2;Ytre Østfold;Østfold;Viken;Viken;1
805;Porsgrunn;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
806;Skien;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
811;Siljan;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
814;Bamble;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
815;Kragerø;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
817;Drangedal;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
819;Nome;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
840;Brevik;15;Grenland;Telemark;Vestfold og Telemark;Vestfold og Telemark;2
701;Horten;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
702;Holmestrand;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
704;Tønsberg;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
2101;Slagentangen;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
706;Sandefjord;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
709;Larvik;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
711;Svelvik;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
713;Sande;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
714;Hof;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
716;Re;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
719;Andebu;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
720;Stokke;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
722;Nøtterøy;14;Vestfold;Vestfold;Vestfold og Telemark;Vestfold og Telemark;2
